2020-06-04 13:32:52,893 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2020-06-04 13:32:52,945 [     52]   INFO -        #com.intellij.idea.Main - IDE: IntelliJ IDEA (build #IC-201.7223.91, 30 Apr 2020 09:54) 
2020-06-04 13:32:52,957 [     64]   INFO -        #com.intellij.idea.Main - OS: Linux (5.0.0-23-generic, amd64) 
2020-06-04 13:32:52,957 [     64]   INFO -        #com.intellij.idea.Main - JRE: 11.0.6+8-b765.40 (JetBrains s.r.o) 
2020-06-04 13:32:52,957 [     64]   INFO -        #com.intellij.idea.Main - JVM: 11.0.6+8-b765.40 (OpenJDK 64-Bit Server VM) 
2020-06-04 13:32:52,958 [     65]   INFO -        #com.intellij.idea.Main - JVM Args: -Xms128m -Xmx1488m -XX:ReservedCodeCacheSize=240m -XX:+UseConcMarkSweepGC -XX:SoftRefLRUPolicyMSPerMB=50 -ea -XX:CICompilerCount=2 -Dsun.io.useCanonPrefixCache=false -Djdk.http.auth.tunneling.disabledSchemes="" -XX:+HeapDumpOnOutOfMemoryError -XX:-OmitStackTraceInFastThrow -Djdk.attach.allowAttachSelf=true -Dkotlinx.coroutines.debug=off -Djdk.module.illegalAccess.silent=true -Dawt.useSystemAAFontSettings=lcd -Dsun.java2d.renderer=sun.java2d.marlin.MarlinRenderingEngine -Dsun.tools.attach.tmp.only=true -Dide.no.platform.update=true -XX:ErrorFile=/home/mavixk/java_error_in_IDEA_%p.log -XX:HeapDumpPath=/home/mavixk/java_error_in_IDEA.hprof -Didea.paths.selector=IdeaIC2020.1 -Djb.vmOptionsFile=/home/mavixk/.local/share/JetBrains/Toolbox/apps/IDEA-C/ch-0/201.7223.91.vmoptions -Didea.platform.prefix=Idea -Didea.jre.check=true 
2020-06-04 13:32:52,958 [     65]   INFO -        #com.intellij.idea.Main - Locale=en_IN JNU=UTF-8 file.encoding=UTF-8 
2020-06-04 13:32:53,011 [    118]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 79 ms 
2020-06-04 13:32:54,669 [   1776]   INFO - llij.ide.plugins.PluginManager - Plugin org.intellij.groovy misses optional descriptor duplicates-groovy.xml 
2020-06-04 13:32:54,670 [   1777]   INFO - llij.ide.plugins.PluginManager - Plugin org.intellij.groovy misses optional descriptor duplicates-detection-groovy.xml 
2020-06-04 13:32:54,948 [   2055]   INFO - llij.ide.plugins.PluginManager - Plugin com.intellij.java misses optional descriptor profiler-java.xml 
2020-06-04 13:32:55,033 [   2140]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: IDEA CORE (201.7223.91), com.intellij.platform.images (201.7223.91), JetBrains Repository Search (201.7223.91), Subversion (201.7223.91), XPathView + XSLT (201.7223.91), XSLT Debugger (201.7223.91), Smali Support (201.7223.91), Configuration Script (201.7223.91), Copyright (201.7223.91), Java (201.7223.91), Bytecode Viewer (201.7223.91), Git (201.7223.91), ChangeReminder (201.7223.91), Next File Prediction (201.7223.91), JUnit (201.7223.91), Task Management (201.7223.91), GitHub (201.7223.91), IntelliLang (201.7223.91), TestNG (201.7223.91), Code Coverage for Java (201.7223.91), Markdown (201.7223.91), Java IDE Customization (201.7223.91), Java Stream Debugger (201.7223.91), Eclipse Interoperability (201.7223.91), Java Bytecode Decompiler (201.7223.91), Gradle (201.7223.91), Properties (201.7223.91), Ant (201.7223.91), Groovy (201.7223.91), Maven (201.7223.91), Gradle-Java (201.7223.91), Gradle-Maven (201.7223.91), Java Internationalization (201.7223.91), Kotlin (1.3.72-release-IJ2020.1-1), UI Designer (201.7223.91), Plugin DevKit (201.7223.91), JavaFX (201.7223.91), Resource Bundle Editor (201.7223.91), Machine Learning Code Completion (201.7223.91), Mercurial (201.7223.91), EditorConfig (201.7223.91), Terminal (201.7223.91), Android (201.7223.91), Shell Script (201.7223.91), TextMate bundles (201.7223.91), YAML (201.7223.91), Grazie (201.7223.91), Settings Repository (201.7223.91) 
2020-06-04 13:32:55,205 [   2312]   INFO - ntellij.idea.ApplicationLoader - CPU cores: 4; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@4145621b[Running, parallelism = 3, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@5ec3bfb2 
2020-06-04 13:32:55,298 [   2405]   INFO - ntellij.idea.ApplicationLoader - WM detected: GNOME Shell 
2020-06-04 13:32:55,946 [   3053]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=500; buffer=10; max=1434 
2020-06-04 13:32:55,976 [   3083]   INFO - tellij.util.io.FileChannelUtil - un-interruptible FileChannel-s will be used for indexes 
2020-06-04 13:32:56,460 [   3567]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 63342 
2020-06-04 13:32:56,503 [   3610]   INFO - com.intellij.ide.ui.UISettings - Loaded: fontSize=13, fontScale=1.0; restored: fontSize=13, fontScale=1.0 
